Table 18.  Arkansas - Race and Hispanic Origin:  1810 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"2,350,725","1,944,744","373,912","12,773","12,530","6,766","19,876","1,933,082"
.   Sample ................................................................................,"2,350,725","1,944,393","373,454","14,320","12,098","6,460","19,586","1,932,640"
1980 ...............................................................................,"2,286,435","1,890,322","373,768","9,428","6,740","6,177","17,904","1,879,908"
.   Sample ................................................................................,"2,286,435","1,889,935","373,025","12,757","7,232","3,486","16,976","1,879,514"
1970 ...............................................................................,"1,923,295","1,565,915","352,445","2,014","1,844","1,077",(NA),(NA)
.   15% sample/1 ...............................................................................,"1,923,240","1,566,264","352,576","2,144",(NA),(NA),"9,333","1,558,180"
.   5% sample ...............................................................................,"1,923,295","1,565,893","352,506",(NA),(NA),(NA),"24,358","1,546,930"
1960 ................................................................................,"1,786,272","1,395,703","388,787",580,996,206,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"1,909,511","1,481,507","426,639",533,731,101,(NA),(NA)
1940/2 ...............................................................................,"1,949,387","1,466,084","482,578",278,447,(X),540,"1,465,544"
.   5% sample/2 ...............................................................................,(NA),"1,465,380",(NA),(NA),(NA),(X),540,"1,464,840"
1930 ................................................................................,"1,854,482","1,375,315","478,463",408,296,(X),(NA),(NA)
1920 ................................................................................,"1,752,204","1,279,757","472,220",106,121,(X),(NA),(NA)
1910 ...............................................................................,"1,574,449","1,131,026","442,891",460,72,(X),(NA),(NA)
1900 ..............................................................................,"1,311,564","944,580","366,856",66,62,(X),(NA),(NA)
1890/3 ...............................................................................,"1,128,211","818,752","309,117",250,92,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,128,179","818,752","309,117",218,92,(X),(NA),(NA)
1880  ...............................................................................,"802,525","591,531","210,666",195,133,Black,,
1870  ...............................................................................,"484,471","362,115","122,169",89,98,Total,Free,Slave
1860  ..............................................................................,"435,450","324,143","111,259",48,-,"111,259",144,"111,115"
1850  ...............................................................................,"209,897","162,189","47,708",(NA),(NA),"47,708",608,"47,100"
1840  ..............................................................................,"97,574","77,174","20,400",(NA),(NA),"20,400",465,"19,935"
1830  ...............................................................................,"30,388","25,671","4,717",(NA),(NA),"4,717",141,"4,576"
1820  ..............................................................................,"14,273","12,597","1,676",(NA),(NA),"1,676",59,"1,617"
1810  .............................................................................,"1,062",924,138,(NA),(NA),138,2,136
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,82.7,15.9,0.5,0.5,0.3,0.8,82.2
.   Sample ................................................................................,100.0,82.7,15.9,0.6,0.5,0.3,0.8,82.2
1980 ...............................................................................,100.0,82.7,16.3,0.4,0.3,0.3,0.8,82.2
.   Sample ................................................................................,100.0,82.7,16.3,0.6,0.3,0.2,0.7,82.2
1970 ...............................................................................,100.0,81.4,18.3,0.1,0.1,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,81.4,18.3,0.1,(NA),(NA),0.5,81.0
.   5% sample ...............................................................................,100.0,81.4,18.3,(NA),(NA),(NA),1.3,80.4
1960 ................................................................................,100.0,78.1,21.8,-,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,77.6,22.3,-,-,-,(NA),(NA)
1940 ...............................................................................,100.0,75.2,24.8,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),-,75.2
1930 ................................................................................,100.0,74.2,25.8,-,-,(X),(NA),(NA)
1920 ................................................................................,100.0,73.0,27.0,-,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,71.8,28.1,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,72.0,28.0,-,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,72.6,27.4,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,72.6,27.4,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,73.7,26.3,-,-,Black,,
1870  ...............................................................................,100.0,74.7,25.2,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,74.4,25.6,-,-,100.0,0.1,99.9
1850  ...............................................................................,100.0,77.3,22.7,(NA),(NA),100.0,1.3,98.7
1840  ..............................................................................,100.0,79.1,20.9,(NA),(NA),100.0,2.3,97.7
1830  ...............................................................................,100.0,84.5,15.5,(NA),(NA),100.0,3.0,97.0
1820  ..............................................................................,100.0,88.3,11.7,(NA),(NA),100.0,3.5,96.5
1810  .............................................................................,100.0,87.0,13.0,(NA),(NA),100.0,1.4,98.6
Footnotes:,,,,,,,,
 - Rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language. 2/Hispanic origin based on the White population of,,,,,,,,
    Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the 100-percent,,,,,,,,
    count of the total population. These estimates are in italics.  See Table E-6 and text.  3/Includes Indian reservations. 4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
