Table 21.  Connecticut - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"3,287,116","2,859,353","274,269","6,654","50,698","96,142","213,116","2,754,184"
.   Sample ................................................................................,"3,287,116","2,862,632","273,555","6,800","48,962","95,167","203,511","2,762,106"
1980 ...............................................................................,"3,107,576","2,799,420","217,433","4,533","18,970","67,220","124,499","2,735,418"
.   Sample ................................................................................,"3,107,576","2,811,092","216,641","4,882","21,116","53,845","125,256","2,742,260"
1970 ...............................................................................,"3,031,709","2,835,458","181,177","2,222","6,810","6,042",(NA),(NA)
.   15% sample/1 ...............................................................................,"3,031,705","2,838,762","181,179","2,387",(NA),(NA),"73,357","2,769,836"
.   5% sample ...............................................................................,"3,031,709","2,839,929","180,958",(NA),(NA),(NA),"65,458","2,778,740"
1960 ................................................................................,"2,535,234","2,423,816","107,449",923,"2,244",802,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"2,007,280","1,952,329","53,472",333,"1,010",136,(NA),(NA)
1940/2 ...............................................................................,"1,709,242","1,675,407","32,992",201,642,(X),"1,658","1,673,749"
.   5% sample/2 ...............................................................................,(NA),"1,677,480",(NA),(NA),(NA),(X),"1,660","1,675,820"
1930 ................................................................................,"1,606,903","1,576,700","29,354",162,687,(X),(NA),(NA)
1920 ................................................................................,"1,380,631","1,358,732","21,046",159,694,(X),(NA),(NA)
1910 ...............................................................................,"1,114,756","1,098,897","15,174",152,533,(X),(NA),(NA)
1900 ..............................................................................,"908,420","892,424","15,226",153,617,(X),(NA),(NA)
1890/3 ...............................................................................,"746,258","733,438","12,302",228,290,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"746,258","733,438","12,302",228,290,(X),(NA),(NA)
1880  ...............................................................................,"622,700","610,769","11,547",255,129,Black,,
1870  ...............................................................................,"537,454","527,549","9,668",235,2,Total,Free,Slave
1860  ..............................................................................,"460,147","451,504","8,627",16,-,"8,627","8,627",-
1850  ...............................................................................,"370,792","363,099","7,693",(NA),(NA),"7,693","7,693",-
1840  ..............................................................................,"309,978","301,856","8,122",(NA),(NA),"8,122","8,105",17
1830  ...............................................................................,"297,675","289,603","8,072",(NA),(NA),"8,072","8,047",25
