Table 22.  Delaware - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"666,168","535,094","112,460","2,019","9,057","7,538","15,820","528,092"
.   Sample ................................................................................,"666,168","535,334","112,125","2,199","8,770","7,740","15,151","529,024"
1980 ...............................................................................,"594,338","487,817","95,845","1,328","4,112","5,236","9,661","483,129"
.   Sample ................................................................................,"594,338","488,002","96,157","1,391","4,627","4,161","9,540","483,009"
1970 ...............................................................................,"548,104","466,459","78,276",656,"1,495","1,218",(NA),(NA)
.   15% sample/1 ...............................................................................,"548,093","466,426","78,284",488,(NA),(NA),"6,267","460,867"
.   5% sample ...............................................................................,"548,104","467,747","78,089",(NA),(NA),(NA),"8,477","460,413"
1960 ................................................................................,"446,292","384,327","60,688",597,410,270,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"318,085","273,878","43,598",-,135,474,(NA),(NA)
1940/2 ...............................................................................,"266,505","230,528","35,876",14,87,(X),200,"230,328"
.   5% sample/2 ...............................................................................,(NA),"230,660",(NA),(NA),(NA),(X),200,"230,460"
1930 ................................................................................,"238,380","205,718","32,602",5,55,(X),(NA),(NA)
1920 ................................................................................,"223,003","192,615","30,335",2,51,(X),(NA),(NA)
1910 ...............................................................................,"202,322","171,102","31,181",5,34,(X),(NA),(NA)
1900 ..............................................................................,"184,735","153,977","30,697",9,52,(X),(NA),(NA)
1890/3 ...............................................................................,"168,493","140,066","28,386",4,37,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"168,493","140,066","28,386",4,37,(X),(NA),(NA)
1880  ...............................................................................,"146,608","120,160","26,442",5,1,Black,,
1870  ...............................................................................,"125,015","102,221","22,794",-,-,Total,Free,Slave
1860  ..............................................................................,"112,216","90,589","21,627",-,-,"21,627","19,829","1,798"
1850  ...............................................................................,"91,532","71,169","20,363",(NA),(NA),"20,363","18,073","2,290"
1840  ..............................................................................,"78,085","58,561","19,524",(NA),(NA),"19,524","16,919","2,605"
1830  ...............................................................................,"76,748","57,601","19,147",(NA),(NA),"19,147","15,855","3,292"
1820  ..............................................................................,"72,749","55,282","17,467",(NA),(NA),"17,467","12,958","4,509"
1810  .............................................................................,"72,674","55,361","17,313",(NA),(NA),"17,313","13,136","4,177"
