Table 23.  District of Columbia - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"606,900","179,667","399,604","1,466","11,214","14,949","32,710","166,131"
.   Sample ................................................................................,"606,900","179,690","399,751","1,559","11,233","14,667","31,358","166,225"
1980 ...............................................................................,"638,333","171,768","448,906","1,031","6,636","9,992","17,679","164,244"
.   Sample ................................................................................,"638,333","174,705","448,370","1,014","6,883","7,361","17,777","166,803"
1970 ...............................................................................,"756,510","209,272","537,712",956,"5,372","3,198",(NA),(NA)
.   15% sample/1 ...............................................................................,"756,492","210,863","537,705",700,(NA),(NA),"15,671","200,656"
.   5% sample ...............................................................................,"756,510","210,217","537,712",(NA),(NA),(NA),"15,108","201,301"
1960 ................................................................................,"763,956","345,263","411,737",587,"4,690","1,679",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"802,178","517,865","280,803",330,"2,890",290,(NA),(NA)
1940/2 ...............................................................................,"663,091","474,326","187,266",190,"1,309",(X),720,"473,606"
.   5% sample/2 ...............................................................................,(NA),"474,500",(NA),(NA),(NA),(X),720,"473,780"
1930 ................................................................................,"486,869","353,981","132,068",40,780,(X),(NA),(NA)
1920 ................................................................................,"437,571","326,860","109,966",37,708,(X),(NA),(NA)
1910 ...............................................................................,"331,069","236,128","94,446",68,427,(X),(NA),(NA)
1900 ..............................................................................,"278,718","191,532","86,702",22,462,(X),(NA),(NA)
1890/3 ...............................................................................,"230,392","154,695","75,572",25,100,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"230,392","154,695","75,572",25,100,(X),(NA),(NA)
1880  ...............................................................................,"177,624","118,006","59,596",5,17,Black,,
1870  ...............................................................................,"131,700","88,278","43,404",15,3,Total,Free,Slave
1860  ..............................................................................,"75,080","60,763","14,316",1,-,"14,316","11,131","3,185"
1850  ...............................................................................,"51,687","37,941","13,746",(NA),(NA),"13,746","10,059","3,687"
1840  ..............................................................................,"33,745","23,926","9,819",(NA),(NA),"9,819","6,499","3,320"
1830  ...............................................................................,"30,261","21,152","9,109",(NA),(NA),"9,109","4,604","4,505"
1820  ..............................................................................,"23,336","16,058","7,278",(NA),(NA),"7,278","2,758","4,520"
1810  .............................................................................,"15,471","10,345","5,126",(NA),(NA),"5,126","1,572","3,554"
1800  ..............................................................................,"8,144","5,672","2,472",(NA),(NA),"2,472",400,"2,072"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,29.6,65.8,0.2,1.8,2.5,5.4,27.4
.   Sample ................................................................................,100.0,29.6,65.9,0.3,1.9,2.4,5.2,27.4
1980 ...............................................................................,100.0,26.9,70.3,0.2,1.0,1.6,2.8,25.7
.   Sample ................................................................................,100.0,27.4,70.2,0.2,1.1,1.2,2.8,26.1
1970 ...............................................................................,100.0,27.7,71.1,0.1,0.7,0.4,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,27.9,71.1,0.1,(NA),(NA),2.1,26.5
.   5% sample ...............................................................................,100.0,27.8,71.1,(NA),(NA),(NA),2.0,26.6
1960 ................................................................................,100.0,45.2,53.9,0.1,0.6,0.2,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,64.6,35.0,-,0.4,-,(NA),(NA)
1940 ...............................................................................,100.0,71.5,28.2,-,0.2,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.1,71.4
1930 ................................................................................,100.0,72.7,27.1,-,0.2,(X),(NA),(NA)
1920 ................................................................................,100.0,74.7,25.1,-,0.2,(X),(NA),(NA)
1910 ...............................................................................,100.0,71.3,28.5,-,0.1,(X),(NA),(NA)
1900 ..............................................................................,100.0,68.7,31.1,-,0.2,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,67.1,32.8,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,67.1,32.8,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,66.4,33.6,-,-,Black,,
1870  ...............................................................................,100.0,67.0,33.0,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,80.9,19.1,-,-,100.0,77.8,22.2
1850  ...............................................................................,100.0,73.4,26.6,(NA),(NA),100.0,73.2,26.8
1840  ..............................................................................,100.0,70.9,29.1,(NA),(NA),100.0,66.2,33.8
1830  ...............................................................................,100.0,69.9,30.1,(NA),(NA),100.0,50.5,49.5
1820  ..............................................................................,100.0,68.8,31.2,(NA),(NA),100.0,37.9,62.1
1810  .............................................................................,100.0,66.9,33.1,(NA),(NA),100.0,30.7,69.3
1800  ..............................................................................,100.0,69.6,30.4,(NA),(NA),100.0,16.2,83.8
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text. 3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
