Table 24.  Florida - Race and Hispanic Origin:  1830 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"12,937,926","10,749,285","1,759,534","36,335","154,302","238,470","1,574,143","9,475,326"
.   Sample ................................................................................,"12,937,926","10,755,698","1,755,958","42,619","150,200","233,451","1,555,031","9,488,696"
1980 ...............................................................................,"9,746,324","8,184,513","1,342,688","19,257","56,740","143,126","858,158","7,473,295"
.   Sample ................................................................................,"9,746,324","8,184,855","1,343,134","25,006","62,514","130,815","858,105","7,476,610"
1970 ...............................................................................,"6,789,443","5,719,343","1,041,651","6,677","14,067","7,705",(NA),(NA)
.   15% sample/1 ...............................................................................,"6,789,383","5,724,464","1,041,535","6,196",(NA),(NA),"451,382","5,287,602"
.   5% sample ...............................................................................,"6,789,443","5,723,857","1,041,917",(NA),(NA),(NA),"405,036","5,343,981"
1960 ................................................................................,"4,951,560","4,063,881","880,186","2,504","3,699","1,290",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"2,771,305","2,166,051","603,101","1,011","1,124",18,(NA),(NA)
1940/2 ...............................................................................,"1,897,414","1,381,986","514,198",690,540,(X),"24,966","1,357,020"
.   5% sample/2 ...............................................................................,(NA),"1,389,420",(NA),(NA),(NA),(X),"25,100","1,364,320"
1930 ................................................................................,"1,468,211","1,035,390","431,828",587,406,(X),(NA),(NA)
1920 ................................................................................,"968,470","638,153","329,487",518,312,(X),(NA),(NA)
1910 ...............................................................................,"752,619","443,634","308,669",74,242,(X),(NA),(NA)
1900 ..............................................................................,"528,542","297,333","230,730",358,121,(X),(NA),(NA)
1890/3 ...............................................................................,"391,422","224,949","166,180",171,122,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"391,422","224,949","166,180",171,122,(X),(NA),(NA)
1880  ...............................................................................,"269,493","142,605","126,690",180,18,Black,,
1870  ...............................................................................,"187,748","96,057","91,689",2,-,Total,Free,Slave
1860  ..............................................................................,"140,424","77,746","62,677",1,-,"62,677",932,"61,745"
1850  ...............................................................................,"87,445","47,203","40,242",(NA),(NA),"40,242",932,"39,310"
1840  ..............................................................................,"54,477","27,943","26,534",(NA),(NA),"26,534",817,"25,717"
1830  ...............................................................................,"34,730","18,385","16,345",(NA),(NA),"16,345",844,"15,501"
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,83.1,13.6,0.3,1.2,1.8,12.2,73.2
.   Sample ................................................................................,100.0,83.1,13.6,0.3,1.2,1.8,12.0,73.3
1980 ...............................................................................,100.0,84.0,13.8,0.2,0.6,1.5,8.8,76.7
.   Sample ................................................................................,100.0,84.0,13.8,0.3,0.6,1.3,8.8,76.7
1970 ...............................................................................,100.0,84.2,15.3,0.1,0.2,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,84.3,15.3,0.1,(NA),(NA),6.6,77.9
.   5% sample ...............................................................................,100.0,84.3,15.3,(NA),(NA),(NA),6.0,78.7
1960 ................................................................................,100.0,82.1,17.8,0.1,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,78.2,21.8,-,-,-,(NA),(NA)
1940 ...............................................................................,100.0,72.8,27.1,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),1.3,71.5
1930 ................................................................................,100.0,70.5,29.4,-,-,(X),(NA),(NA)
1920 ................................................................................,100.0,65.9,34.0,0.1,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,58.9,41.0,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,56.3,43.7,0.1,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,57.5,42.5,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,57.5,42.5,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,52.9,47.0,0.1,-,Black,,
1870  ...............................................................................,100.0,51.2,48.8,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,55.4,44.6,-,-,100.0,1.5,98.5
1850  ...............................................................................,100.0,54.0,46.0,(NA),(NA),100.0,2.3,97.7
1840  ..............................................................................,100.0,51.3,48.7,(NA),(NA),100.0,3.1,96.9
1830  ...............................................................................,100.0,52.9,47.1,(NA),(NA),100.0,5.2,94.8
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text. 3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
