Table 27.  Idaho - Race and Hispanic Origin:  1870 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"1,006,749","950,451","3,370","13,780","9,365","29,783","52,927","928,661"
.   Sample ................................................................................,"1,006,749","950,802","3,653","14,677","9,096","28,521","51,679","929,109"
1980 ...............................................................................,"943,935","901,641","2,716","10,521","5,948","23,109","36,615","886,187"
.   Sample ................................................................................,"943,935","904,045","2,711","10,523","6,721","19,935","36,560","887,691"
1970 ...............................................................................,"712,567","698,802","2,130","6,687","3,212","1,736",(NA),(NA)
.   15% sample/1 ...............................................................................,"712,567","700,873","2,046","6,315",(NA),(NA),"18,476","683,023"
.   5% sample ...............................................................................,"712,567","699,618","1,972",(NA),(NA),(NA),"16,077","683,991"
1960 ................................................................................,"667,191","657,383","1,502","5,231","2,758",317,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"588,637","581,395","1,050","3,800","2,304",88,(NA),(NA)
1940/2 ...............................................................................,"524,873","519,292",595,"3,537","1,449",(X),"2,719","516,573"
.   5% sample/2 ...............................................................................,(NA),"519,540",(NA),(NA),(NA),(X),"2,720","516,820"
1930 ................................................................................,"445,032","438,840",668,"3,638","1,886",(X),(NA),(NA)
1920 ................................................................................,"431,866","425,668",920,"3,098","2,180",(X),(NA),(NA)
1910 ...............................................................................,"325,594","319,221",651,"3,488","2,234",(X),(NA),(NA)
1900 ..............................................................................,"161,772","154,495",293,"4,226","2,758",(X),(NA),(NA)
1890/3 ...............................................................................,"88,548","82,117",201,"4,223","2,007",(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"84,385","82,018",201,159,"2,007",(X),(NA),(NA)
1880  ...............................................................................,"32,610","29,013",53,165,"3,379",(X),(NA),(NA)
1870  ...............................................................................,"14,999","10,618",60,47,"4,274",(X),(NA),(NA)
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,94.4,0.3,1.4,0.9,3.0,5.3,92.2
.   Sample ................................................................................,100.0,94.4,0.4,1.5,0.9,2.8,5.1,92.3
1980 ...............................................................................,100.0,95.5,0.3,1.1,0.6,2.4,3.9,93.9
.   Sample ................................................................................,100.0,95.8,0.3,1.1,0.7,2.1,3.9,94.0
1970 ...............................................................................,100.0,98.1,0.3,0.9,0.5,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,98.4,0.3,0.9,(NA),(NA),2.6,95.9
.   5% sample ...............................................................................,100.0,98.2,0.3,(NA),(NA),(NA),2.3,96.0
1960 ................................................................................,100.0,98.5,0.2,0.8,0.4,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,98.8,0.2,0.6,0.4,-,(NA),(NA)
1940 ...............................................................................,100.0,98.9,0.1,0.7,0.3,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.5,98.4
1930 ................................................................................,100.0,98.6,0.2,0.8,0.4,(X),(NA),(NA)
1920 ................................................................................,100.0,98.6,0.2,0.7,0.5,(X),(NA),(NA)
1910 ...............................................................................,100.0,98.0,0.2,1.1,0.7,(X),(NA),(NA)
1900 ..............................................................................,100.0,95.5,0.2,2.6,1.7,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,92.7,0.2,4.8,2.3,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,97.2,0.2,0.2,2.4,(X),(NA),(NA)
1880  ...............................................................................,100.0,89.0,0.2,0.5,10.4,(NA),(NA),(NA)
1870  ...............................................................................,100.0,70.8,0.4,0.3,28.5,(NA),(NA),(NA)
Footnotes:,,,,,,,,
 - Rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language. 2/Hispanic origin based on the White population of,,,,,,,,
    Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the 100-percent,,,,,,,,
    count of the total population.  These estimates are in italics.  See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
