Table 28.  Illinois - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"11,430,602","8,952,978","1,694,273","21,836","285,311","476,204","904,446","8,550,208"
.   Sample ................................................................................,"11,430,602","8,957,923","1,690,855","24,077","284,944","472,803","878,682","8,570,743"
1980 ...............................................................................,"11,426,518","9,233,327","1,675,398","16,283","159,653","341,857","635,602","8,911,706"
.   Sample ................................................................................,"11,426,518","9,267,607","1,674,467","19,612","172,213","292,619","634,617","8,936,472"
1970 ...............................................................................,"11,113,976","9,600,381","1,425,674","11,413","48,808","27,700",(NA),(NA)
.   15% sample/1 ...............................................................................,"11,109,450","9,617,500","1,421,745","9,756",(NA),(NA),"364,397","9,272,981"
.   5% sample ...............................................................................,"11,113,976","9,615,037","1,425,803",(NA),(NA),(NA),"393,204","9,257,002"
1960 ................................................................................,"10,081,158","9,010,252","1,037,470","4,704","24,708","4,024",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"8,712,176","8,046,058","645,980","1,443","17,960",735,(NA),(NA)
1940/2 ...............................................................................,"7,897,241","7,504,202","387,446",624,"4,969",(X),"23,915","7,480,287"
.   5% sample/2 ...............................................................................,(NA),"7,512,120",(NA),(NA),(NA),(X),"23,940","7,488,180"
1930 ................................................................................,"7,630,654","7,295,267","328,972",469,"5,946",(X),(NA),(NA)
1920 ................................................................................,"6,485,280","6,299,333","182,274",194,"3,479",(X),(NA),(NA)
1910 ...............................................................................,"5,638,591","5,526,962","109,049",188,"2,392",(X),(NA),(NA)
1900 ..............................................................................,"4,821,550","4,734,873","85,078",16,"1,583",(X),(NA),(NA)
1890/3 ...............................................................................,"3,826,352","3,768,472","57,028",98,754,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"3,826,351","3,768,472","57,028",97,754,(X),(NA),(NA)
1880  ...............................................................................,"3,077,871","3,031,151","46,368",140,212,Black,,
1870  ...............................................................................,"2,539,891","2,511,096","28,762",32,1,Total,Free,Slave
1860  ..............................................................................,"1,711,951","1,704,291","7,628",32,-,"7,628","7,628",-
1850  ...............................................................................,"851,470","846,034","5,436",(NA),(NA),"5,436","5,436",-
1840  ..............................................................................,"476,183","472,254","3,929",(NA),(NA),"3,929","3,598",331
