Table 29.  Indiana - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"5,544,159","5,020,700","432,092","12,720","37,617","41,030","98,788","4,965,242"
.   Sample ................................................................................,"5,544,159","5,022,596","429,722","14,494","36,595","40,752","95,363","4,969,302"
1980 ...............................................................................,"5,490,224","5,004,394","414,785","7,836","20,557","42,652","87,047","4,953,603"
.   Sample ................................................................................,"5,490,224","5,008,817","414,489","9,691","24,355","32,872","86,518","4,957,028"
1970 ...............................................................................,"5,193,669","4,820,324","357,464","3,887","6,892","5,102",(NA),(NA)
.   15% sample/1 ...............................................................................,"5,193,665","4,825,999","356,261","3,266",(NA),(NA),"67,188","4,761,641"
.   5% sample ...............................................................................,"5,193,669","4,823,677","357,068",(NA),(NA),(NA),"112,472","4,718,038"
1960 ................................................................................,"4,662,498","4,388,554","269,275",948,"2,447","1,274",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"3,934,224","3,758,512","174,168",438,929,177,(NA),(NA)
1940/2 ...............................................................................,"3,427,796","3,305,323","121,916",223,334,(X),"5,554","3,299,769"
.   5% sample/2 ...............................................................................,(NA),"3,308,620",(NA),(NA),(NA),(X),"5,560","3,303,060"
1930 ................................................................................,"3,238,503","3,125,778","111,982",285,458,(X),(NA),(NA)
1920 ................................................................................,"2,930,390","2,849,071","80,810",125,384,(X),(NA),(NA)
1910 ...............................................................................,"2,700,876","2,639,961","60,320",279,316,(X),(NA),(NA)
1900 ..............................................................................,"2,516,462","2,458,502","57,505",243,212,(X),(NA),(NA)
1890/3 ...............................................................................,"2,192,404","2,146,736","45,215",343,110,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"2,192,404","2,146,736","45,215",343,110,(X),(NA),(NA)
1880  ...............................................................................,"1,978,301","1,938,798","39,228",246,29,Black,,
1870  ...............................................................................,"1,680,637","1,655,837","24,560",240,-,Total,Free,Slave
1860  ..............................................................................,"1,350,428","1,338,710","11,428",290,-,"11,428","11,428",-
1850  ...............................................................................,"988,416","977,154","11,262",(NA),(NA),"11,262","11,262",-
1840  ..............................................................................,"685,866","678,698","7,168",(NA),(NA),"7,168","7,165",3
1830  ...............................................................................,"343,031","339,399","3,632",(NA),(NA),"3,632","3,629",3
