Table 32.  Kentucky - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"3,685,296","3,391,832","262,907","5,769","17,812","6,976","21,984","3,378,022"
.   Sample ................................................................................,"3,685,296","3,392,615","262,057","6,946","17,309","6,369","20,363","3,379,712"
1980 ...............................................................................,"3,660,777","3,379,006","259,477","3,610","9,970","8,714","27,406","3,358,495"
.   Sample ................................................................................,"3,660,777","3,380,256","259,289","4,601","11,823","4,808","27,094","3,359,765"
1970 ...............................................................................,"3,218,706","2,981,766","230,793","1,531","2,828","1,788",(NA),(NA)
.   15% sample/1 ...............................................................................,"3,218,697","2,983,307","230,333","1,269",(NA),(NA),"11,112","2,973,148"
.   5% sample ...............................................................................,"3,218,706","2,983,501","230,435",(NA),(NA),(NA),"44,749","2,941,568"
1960 ................................................................................,"3,038,156","2,820,083","215,949",391,"1,298",435,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"2,944,806","2,742,090","201,921",234,478,83,(NA),(NA)
1940/2 ...............................................................................,"2,845,627","2,631,425","214,031",44,127,(X),319,"2,631,106"
.   5% sample/2 ...............................................................................,(NA),"2,635,660",(NA),(NA),(NA),(X),320,"2,635,340"
1930 ................................................................................,"2,614,589","2,388,452","226,040",22,75,(X),(NA),(NA)
1920 ................................................................................,"2,416,630","2,180,560","235,938",57,75,(X),(NA),(NA)
1910 ...............................................................................,"2,289,905","2,027,951","261,656",234,64,(X),(NA),(NA)
1900 ..............................................................................,"2,147,174","1,862,309","284,706",102,57,(X),(NA),(NA)
1890/3 ...............................................................................,"1,858,635","1,590,462","268,071",71,31,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,858,635","1,590,462","268,071",71,31,(X),(NA),(NA)
1880  ...............................................................................,"1,648,690","1,377,179","271,451",50,10,Black,,
1870  ...............................................................................,"1,321,011","1,098,692","222,210",108,1,Total,Free,Slave
1860  ..............................................................................,"1,155,684","919,484","236,167",33,-,"236,167","10,684","225,483"
1850  ...............................................................................,"982,405","761,413","220,992",(NA),(NA),"220,992","10,011","210,981"
1840  ..............................................................................,"779,828","590,253","189,575",(NA),(NA),"189,575","7,317","182,258"
