Table 35.  Maryland - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"4,781,468","3,393,964","1,189,899","12,972","139,719","44,914","125,102","3,326,109"
.   Sample ................................................................................,"4,781,468","3,396,261","1,188,930","14,258","137,663","44,356","119,984","3,329,976"
1980 ...............................................................................,"4,216,975","3,158,838","958,150","8,021","64,278","27,688","64,746","3,116,160"
.   Sample ................................................................................,"4,216,975","3,166,142","957,418","9,075","67,949","16,391","63,196","3,123,621"
1970 ...............................................................................,"3,922,399","3,194,888","699,479","4,239","17,944","5,849",(NA),(NA)
.   15% sample/1 ...............................................................................,"3,922,391","3,199,583","698,002","3,705",(NA),(NA),"52,974","3,152,974"
.   5% sample ...............................................................................,"3,922,399","3,200,920","698,452",(NA),(NA),(NA),"45,461","3,161,908"
1960 ................................................................................,"3,100,689","2,573,919","518,410","1,538","5,700","1,122",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"2,343,001","1,954,975","385,972",314,"1,699",41,(NA),(NA)
1940/2 ...............................................................................,"1,821,244","1,518,481","301,931",73,759,(X),719,"1,517,762"
.   5% sample/2 ...............................................................................,(NA),"1,519,920",(NA),(NA),(NA),(X),720,"1,519,200"
1930 ................................................................................,"1,631,526","1,354,226","276,379",50,871,(X),(NA),(NA)
1920 ................................................................................,"1,449,661","1,204,737","244,479",32,413,(X),(NA),(NA)
1910 ...............................................................................,"1,295,346","1,062,639","232,250",55,402,(X),(NA),(NA)
1900 ..............................................................................,"1,188,044","952,424","235,064",3,553,(X),(NA),(NA)
1890/3 ...............................................................................,"1,042,390","826,493","215,657",44,196,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,042,390","826,493","215,657",44,196,(X),(NA),(NA)
1880  ...............................................................................,"934,943","724,693","210,230",15,5,Black,,
1870  ...............................................................................,"780,894","605,497","175,391",4,2,Total,Free,Slave
1860  ..............................................................................,"687,049","515,918","171,131",-,-,"171,131","83,942","87,189"
1850  ...............................................................................,"583,034","417,943","165,091",(NA),(NA),"165,091","74,723","90,368"
1840  ..............................................................................,"470,019","318,204","151,815",(NA),(NA),"151,815","62,078","89,737"
1830  ...............................................................................,"447,040","291,108","155,932",(NA),(NA),"155,932","52,938","102,994"
