Table 36.  Massachusetts - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"6,016,425","5,405,374","300,130","12,241","143,392","155,288","287,549","5,280,292"
.   Sample ................................................................................,"6,016,425","5,411,774","297,006","12,585","140,745","154,315","275,859","5,291,918"
1980 ...............................................................................,"5,737,037","5,362,836","221,279","7,743","49,501","95,678","141,043","5,294,151"
.   Sample ................................................................................,"5,737,037","5,378,403","221,029","9,198","52,615","75,792","141,380","5,305,963"
1970 ...............................................................................,"5,689,170","5,477,624","175,817","4,475","22,389","8,865",(NA),(NA)
.   15% sample/1 ...............................................................................,"5,688,903","5,484,685","173,376","4,137",(NA),(NA),"64,860","5,426,180"
.   5% sample ...............................................................................,"5,689,170","5,483,805","173,805",(NA),(NA),(NA),"66,146","5,423,939"
1960 ................................................................................,"5,148,578","5,023,144","111,842","2,118","9,478","1,996",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"4,690,514","4,611,503","73,171","1,201","4,393",246,(NA),(NA)
1940/2 ...............................................................................,"4,316,721","4,257,596","55,391",769,"2,965",(X),"2,216","4,255,380"
.   5% sample/2 ...............................................................................,(NA),"4,264,580",(NA),(NA),(NA),(X),"2,220","4,262,360"
1930 ................................................................................,"4,249,614","4,192,992","52,365",874,"3,383",(X),(NA),(NA)
1920 ................................................................................,"3,852,356","3,803,524","45,466",555,"2,811",(X),(NA),(NA)
1910 ...............................................................................,"3,366,416","3,324,926","38,055",688,"2,747",(X),(NA),(NA)
1900 ..............................................................................,"2,805,346","2,769,764","31,974",587,"3,021",(X),(NA),(NA)
1890/3 ...............................................................................,"2,238,947","2,215,373","22,144",428,"1,002",(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"2,238,943","2,215,373","22,144",424,"1,002",(X),(NA),(NA)
1880  ...............................................................................,"1,783,085","1,763,782","18,697",369,237,Black,,
1870  ...............................................................................,"1,457,351","1,443,156","13,947",151,97,Total,Free,Slave
1860  ..............................................................................,"1,231,066","1,221,432","9,602",32,-,"9,602","9,602",-
1850  ...............................................................................,"994,514","985,450","9,064",(NA),(NA),"9,064","9,064",-
1840  ..............................................................................,"737,699","729,030","8,669",(NA),(NA),"8,669","8,669",-
