Table 37.  Michigan - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"9,295,297","7,756,086","1,291,706","55,638","104,983","86,884","201,596","7,649,951"
.   Sample ................................................................................,"9,295,297","7,759,241","1,289,012","58,934","102,869","85,241","189,915","7,660,590"
1980 ...............................................................................,"9,262,078","7,872,241","1,199,023","40,050","56,790","93,974","162,440","7,785,525"
.   Sample ................................................................................,"9,262,078","7,893,278","1,197,177","44,919","62,641","64,063","157,626","7,805,797"
1970 ...............................................................................,"8,875,083","7,833,474","991,066","16,854","17,844","15,845",(NA),(NA)
.   15% sample/1 ...............................................................................,"8,875,068","7,843,805","990,496","15,944",(NA),(NA),"120,687","7,731,402"
.   5% sample ...............................................................................,"8,875,083","7,842,504","990,290",(NA),(NA),(NA),"151,070","7,708,046"
1960 ................................................................................,"7,823,194","7,085,865","717,581","9,701","7,579","2,468",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"6,371,766","5,917,825","442,296","7,000","3,776",869,(NA),(NA)
1940/2 ...............................................................................,"5,256,106","5,039,643","208,345","6,282","1,836",(X),"11,845","5,027,798"
.   5% sample/2 ...............................................................................,(NA),"5,046,020",(NA),(NA),(NA),(X),"11,860","5,034,160"
1930 ................................................................................,"4,842,325","4,663,507","169,453","7,080","2,285",(X),(NA),(NA)
1920 ................................................................................,"3,668,412","3,601,627","60,082","5,614","1,089",(X),(NA),(NA)
1910 ...............................................................................,"2,810,173","2,785,247","17,115","7,519",292,(X),(NA),(NA)
1900 ..............................................................................,"2,420,982","2,398,563","15,816","6,354",249,(X),(NA),(NA)
1890/3 ...............................................................................,"2,093,890","2,072,884","15,223","5,625",158,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"2,093,889","2,072,884","15,223","5,624",158,(X),(NA),(NA)
1880  ...............................................................................,"1,636,937","1,614,560","15,100","7,249",28,Black,,
1870  ...............................................................................,"1,184,059","1,167,282","11,849","4,926",2,Total,Free,Slave
1860  ..............................................................................,"749,113","736,142","6,799","6,172",-,"6,799","6,799",-
1850  ...............................................................................,"397,654","395,071","2,583",(NA),(NA),"2,583","2,583",-
1840  ..............................................................................,"212,267","211,560",707,(NA),(NA),707,707,-
