Table 38.  Minnesota - Race and Hispanic Origin:  1850 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"4,375,099","4,130,395","94,944","49,909","77,886","21,965","53,884","4,101,266"
.   Sample ................................................................................,"4,375,099","4,133,189","94,798","49,507","76,771","20,834","49,664","4,106,187"
1980 ...............................................................................,"4,075,970","3,935,770","53,344","35,016","26,536","25,304","32,123","3,916,529"
.   Sample ................................................................................,"4,075,970","3,942,025","52,325","36,730","32,226","12,664","32,115","3,922,153"
1970 ...............................................................................,"3,804,971","3,736,038","34,868","23,128","7,605","3,332",(NA),(NA)
.   15% sample/1 ...............................................................................,"3,804,971","3,739,061","34,567","22,369",(NA),(NA),"23,198","3,716,840"
.   5% sample ...............................................................................,"3,804,971","3,738,976","35,580",(NA),(NA),(NA),"37,256","3,703,305"
1960 ................................................................................,"3,413,864","3,371,603","22,263","15,496","3,642",860,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"2,982,483","2,953,697","14,022","12,533","2,061",170,(NA),(NA)
1940/2 ...............................................................................,"2,792,300","2,768,982","9,928","12,528",862,(X),"3,298","2,765,684"
.   5% sample/2 ...............................................................................,(NA),"2,770,860",(NA),(NA),(NA),(X),"3,300","2,767,560"
1930 ................................................................................,"2,563,953","2,542,599","9,445","11,077",832,(X),(NA),(NA)
1920 ................................................................................,"2,387,125","2,368,936","8,809","8,761",619,(X),(NA),(NA)
1910 ...............................................................................,"2,075,708","2,059,227","7,084","9,053",344,(X),(NA),(NA)
1900 ..............................................................................,"1,751,394","1,737,036","4,959","9,182",217,(X),(NA),(NA)
1890/3 ...............................................................................,"1,310,283","1,296,408","3,683","10,096",96,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,301,826","1,296,159","3,683","1,888",96,(X),(NA),(NA)
1880  ...............................................................................,"780,773","776,884","1,564","2,300",25,Black,,
1870  ...............................................................................,"439,706","438,257",759,690,-,Total,Free,Slave
1860  ..............................................................................,"172,023","169,395",259,"2,369",-,259,259,-
1850  ...............................................................................,"6,077","6,038",39,(NA),(NA),39,39,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,94.4,2.2,1.1,1.8,0.5,1.2,93.7
.   Sample ................................................................................,100.0,94.5,2.2,1.1,1.8,0.5,1.1,93.9
1980 ...............................................................................,100.0,96.6,1.3,0.9,0.7,0.6,0.8,96.1
.   Sample ................................................................................,100.0,96.7,1.3,0.9,0.8,0.3,0.8,96.2
1970 ...............................................................................,100.0,98.2,0.9,0.6,0.2,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,98.3,0.9,0.6,(NA),(NA),0.6,97.7
.   5% sample ...............................................................................,100.0,98.3,0.9,(NA),(NA),(NA),1.0,97.3
1960 ................................................................................,100.0,98.8,0.7,0.5,0.1,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,99.0,0.5,0.4,0.1,-,(NA),(NA)
1940 ...............................................................................,100.0,99.2,0.4,0.4,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.1,99.0
1930 ................................................................................,100.0,99.2,0.4,0.4,-,(X),(NA),(NA)
1920 ................................................................................,100.0,99.2,0.4,0.4,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,99.2,0.3,0.4,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,99.2,0.3,0.5,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,98.9,0.3,0.8,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,99.6,0.3,0.1,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,99.5,0.2,0.3,-,Black,,
1870  ...............................................................................,100.0,99.7,0.2,0.2,-,Total,Free,Slave
1860  ..............................................................................,100.0,98.5,0.2,1.4,-,100.0,100.0,-
1850  ...............................................................................,100.0,99.4,0.6,(NA),(NA),100.0,100.0,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
