Table 39.  Mississippi - Race and Hispanic Origin:  1800 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"2,573,216","1,633,461","915,057","8,525","13,016","3,157","15,931","1,624,198"
.   Sample ................................................................................,"2,573,216","1,632,884","915,858","8,856","12,706","2,912","14,745","1,623,356"
1980 ...............................................................................,"2,520,638","1,615,190","887,206","6,180","7,412","4,650","24,731","1,604,154"
.   Sample ................................................................................,"2,520,638","1,615,632","887,111","6,914","7,749","3,232","24,178","1,603,982"
1970 ...............................................................................,"2,216,912","1,393,283","815,770","4,113","2,671","1,075",(NA),(NA)
.   15% sample/1 ...............................................................................,"2,216,850","1,394,817","815,630","3,731",(NA),(NA),"8,182","1,387,332"
.   5% sample ...............................................................................,"2,216,912","1,395,274","815,770",(NA),(NA),(NA),"15,815","1,386,726"
1960 ................................................................................,"2,178,141","1,257,546","915,743","3,119","1,481",252,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"2,178,914","1,188,632","986,494","2,502","1,097",189,(NA),(NA)
1940/2 ...............................................................................,"2,183,796","1,106,327","1,074,578","2,134",757,(X),861,"1,105,466"
.   5% sample/2 ...............................................................................,(NA),"1,104,640",(NA),(NA),(NA),(X),860,"1,103,780"
1930 ................................................................................,"2,009,821","998,077","1,009,718","1,458",568,(X),(NA),(NA)
1920 ................................................................................,"1,790,618","853,962","935,184","1,105",367,(X),(NA),(NA)
1910 ...............................................................................,"1,797,114","786,111","1,009,487","1,253",263,(X),(NA),(NA)
1900 ..............................................................................,"1,551,270","641,200","907,630","2,203",237,(X),(NA),(NA)
1890/3 ...............................................................................,"1,289,600","544,851","742,559","2,036",154,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,289,600","544,851","742,559","2,036",154,(X),(NA),(NA)
1880  ...............................................................................,"1,131,597","479,398","650,291","1,857",51,Black,,
1870  ...............................................................................,"827,922","382,896","444,201",809,16,Total,Free,Slave
1860  ..............................................................................,"791,305","353,899","437,404",2,-,"437,404",773,"436,631"
1850  ...............................................................................,"606,526","295,718","310,808",(NA),(NA),"310,808",930,"309,878"
1840  ..............................................................................,"375,651","179,074","196,577",(NA),(NA),"196,577","1,366","195,211"
