Table 43.  Nevada - Race and Hispanic Origin:  1860 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"1,201,833","1,012,695","78,771","19,637","38,127","52,603","124,419","946,357"
.   Sample ................................................................................,"1,201,833","1,012,890","78,310","20,398","38,053","52,182","121,346","947,480"
1980 ...............................................................................,"800,493","700,345","50,999","13,308","14,164","21,677","53,879","666,354"
.   Sample ................................................................................,"800,493","703,053","51,203","14,344","15,606","16,287","54,130","666,807"
1970 ...............................................................................,"488,738","448,177","27,762","7,933","3,272","1,594",(NA),(NA)
.   15% sample/1 ...............................................................................,"488,738","449,850","27,579","7,329",(NA),(NA),"27,142","423,771"
.   5% sample ...............................................................................,"488,738","450,319","27,489",(NA),(NA),(NA),"20,505","430,103"
1960 ................................................................................,"285,278","263,443","13,484","6,681","1,402",268,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"160,083","149,908","4,302","5,025",779,69,(NA),(NA)
1940/2 ...............................................................................,"110,247","104,030",664,"4,747",806,(X),"3,046","100,984"
.   5% sample/2 ...............................................................................,(NA),"104,500",(NA),(NA),(NA),(X),"3,060","101,440"
1930 ................................................................................,"91,058","84,515",516,"4,871","1,156",(X),(NA),(NA)
1920 ................................................................................,"77,407","70,699",346,"4,907","1,455",(X),(NA),(NA)
1910 ...............................................................................,"81,875","74,276",513,"5,240","1,846",(X),(NA),(NA)
1900 ..............................................................................,"42,335","35,405",134,"5,216","1,580",(X),(NA),(NA)
1890/3 ...............................................................................,"47,355","39,121",242,"5,156","2,836",(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"45,761","39,084",242,"3,599","2,836",(X),(NA),(NA)
1880  ...............................................................................,"62,266","53,556",488,"2,803","5,419",Black,,
1870  ...............................................................................,"42,941","39,408",357,24,"3,152",Total,Free,Slave
1860  ..............................................................................,"6,857","6,812",45,-,-,45,45,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,84.3,6.6,1.6,3.2,4.4,10.4,78.7
.   Sample ................................................................................,100.0,84.3,6.5,1.7,3.2,4.3,10.1,78.8
1980 ...............................................................................,100.0,87.5,6.4,1.7,1.8,2.7,6.7,83.2
.   Sample ................................................................................,100.0,87.8,6.4,1.8,1.9,2.0,6.8,83.3
1970 ...............................................................................,100.0,91.7,5.7,1.6,0.7,0.3,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,92.0,5.6,1.5,(NA),(NA),5.6,86.7
.   5% sample ...............................................................................,100.0,92.1,5.6,(NA),(NA),(NA),4.2,88.0
1960 ................................................................................,100.0,92.3,4.7,2.3,0.5,0.1,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,93.6,2.7,3.1,0.5,-,(NA),(NA)
1940 ...............................................................................,100.0,94.4,0.6,4.3,0.7,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),2.8,91.6
1930 ................................................................................,100.0,92.8,0.6,5.3,1.3,(X),(NA),(NA)
1920 ................................................................................,100.0,91.3,0.4,6.3,1.9,(X),(NA),(NA)
1910 ...............................................................................,100.0,90.7,0.6,6.4,2.3,(X),(NA),(NA)
1900 ..............................................................................,100.0,83.6,0.3,12.3,3.7,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,82.6,0.5,10.9,6.0,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,85.4,0.5,7.9,6.2,(X),(NA),(NA)
1880  ...............................................................................,100.0,86.0,0.8,4.5,8.7,Black,,
1870  ...............................................................................,100.0,91.8,0.8,0.1,7.3,Total,Free,Slave
1860  ..............................................................................,100.0,99.3,0.7,-,-,100.0,100.0,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
