Table 48.  North Carolina - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"6,628,637","5,008,491","1,456,323","80,155","52,166","31,502","76,726","4,971,127"
.   Sample ................................................................................,"6,628,637","5,011,248","1,455,340","82,606","50,395","29,048","69,020","4,977,281"
1980 ...............................................................................,"5,881,766","4,457,507","1,318,857","64,652","21,176","19,574","56,667","4,428,567"
.   Sample ................................................................................,"5,881,766","4,460,570","1,319,054","65,960","23,150","13,032","56,039","4,430,653"
1970 ...............................................................................,"5,082,059","3,901,767","1,126,478","44,406","5,617","3,791",(NA),(NA)
.   15% sample/1 ...............................................................................,"5,082,036","3,906,701","1,125,545","43,614",(NA),(NA),"22,611","3,886,911"
.   5% sample ...............................................................................,"5,082,059","3,903,355","1,126,310",(NA),(NA),(NA),"43,414","3,868,275"
1960 ................................................................................,"4,556,155","3,399,285","1,116,021","38,129","2,012",708,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"4,061,929","2,983,121","1,047,353","3,742",551,"27,162",(NA),(NA)
1940/2 ...............................................................................,"3,571,623","2,567,635","981,298","22,546",144,(X),180,"2,567,455"
.   5% sample/2 ...............................................................................,(NA),"2,567,920",(NA),(NA),(NA),(X),180,"2,567,740"
1930 ................................................................................,"3,170,276","2,234,958","918,647","16,579",92,(X),(NA),(NA)
1920 ................................................................................,"2,559,123","1,783,779","763,407","11,824",113,(X),(NA),(NA)
1910 ...............................................................................,"2,206,287","1,500,511","697,843","7,851",82,(X),(NA),(NA)
1900 ..............................................................................,"1,893,810","1,263,603","624,469","5,687",51,(X),(NA),(NA)
1890/3 ...............................................................................,"1,617,949","1,055,382","561,018","1,516",33,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"1,617,947","1,055,382","561,018","1,514",33,(X),(NA),(NA)
1880  ...............................................................................,"1,399,750","867,242","531,277","1,230",1,Black,,
1870  ...............................................................................,"1,071,361","678,470","391,650","1,241",-,Total,Free,Slave
1860  ..............................................................................,"992,622","629,942","361,522","1,158",-,"361,522","30,463","331,059"
1850  ...............................................................................,"869,039","553,028","316,011",(NA),(NA),"316,011","27,463","288,548"
1840  ..............................................................................,"753,419","484,870","268,549",(NA),(NA),"268,549","22,732","245,817"
