Table 52.  Oregon - Race and Hispanic Origin:  1850 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"2,842,321","2,636,787","46,178","38,496","69,269","51,591","112,707","2,579,732"
.   Sample ................................................................................,"2,842,321","2,637,730","45,423","41,626","67,641","49,901","110,606","2,580,591"
1980 ...............................................................................,"2,633,105","2,490,610","37,060","27,314","34,775","43,346","65,847","2,456,012"
.   Sample ................................................................................,"2,633,105","2,496,398","37,454","30,469","40,958","27,826","66,164","2,459,399"
1970 ...............................................................................,"2,091,385","2,032,079","26,308","13,510","15,037","4,451",(NA),(NA)
.   15% sample/1 ...............................................................................,"2,091,385","2,035,159","26,192","13,110",(NA),(NA),"34,577","2,002,583"
.   5% sample ...............................................................................,"2,091,385","2,036,395","25,908",(NA),(NA),(NA),"22,338","2,014,713"
1960 ................................................................................,"1,768,687","1,732,037","18,133","8,026","9,120","1,371",(NA),(NA)
,,,,,,,,
1950 ................................................................................,"1,521,341","1,497,128","11,529","5,820","6,513",351,(NA),(NA)
1940/2 ...............................................................................,"1,089,684","1,075,731","2,565","4,594","6,794",(X),"1,277","1,074,454"
.   5% sample/2 ...............................................................................,(NA),"1,078,640",(NA),(NA),(NA),(X),"1,280","1,077,360"
1930 ................................................................................,"953,786","938,597","2,234","4,776","8,179",(X),(NA),(NA)
1920 ................................................................................,"783,389","769,146","2,144","4,590","7,509",(X),(NA),(NA)
1910 ...............................................................................,"672,765","655,090","1,492","5,090","11,093",(X),(NA),(NA)
1900 ..............................................................................,"413,536","394,582","1,105","4,951","12,898",(X),(NA),(NA)
1890/3 ...............................................................................,"317,704","301,982","1,186","4,971","9,565",(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"313,767","301,758","1,186","1,258","9,565",(X),(NA),(NA)
1880  ...............................................................................,"174,768","163,075",487,"1,694","9,512",Black,,
1870  ...............................................................................,"90,923","86,929",346,318,"3,330",Total,Free,Slave
1860  ..............................................................................,"52,465","52,160",128,177,-,128,128,-
1850  ...............................................................................,"12,093","12,038",55,(NA),(NA),55,55,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,92.8,1.6,1.4,2.4,1.8,4.0,90.8
.   Sample ................................................................................,100.0,92.8,1.6,1.5,2.4,1.8,3.9,90.8
1980 ...............................................................................,100.0,94.6,1.4,1.0,1.3,1.6,2.5,93.3
.   Sample ................................................................................,100.0,94.8,1.4,1.2,1.6,1.1,2.5,93.4
1970 ...............................................................................,100.0,97.2,1.3,0.6,0.7,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,97.3,1.3,0.6,(NA),(NA),1.7,95.8
.   5% sample ...............................................................................,100.0,97.4,1.2,(NA),(NA),(NA),1.1,96.3
1960 ................................................................................,100.0,97.9,1.0,0.5,0.5,0.1,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,98.4,0.8,0.4,0.4,-,(NA),(NA)
1940 ...............................................................................,100.0,98.7,0.2,0.4,0.6,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.1,98.6
1930 ................................................................................,100.0,98.4,0.2,0.5,0.9,(X),(NA),(NA)
1920 ................................................................................,100.0,98.2,0.3,0.6,1.0,(X),(NA),(NA)
1910 ...............................................................................,100.0,97.4,0.2,0.8,1.6,(X),(NA),(NA)
1900 ..............................................................................,100.0,95.4,0.3,1.2,3.1,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,95.1,0.4,1.6,3.0,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,96.2,0.4,0.4,3.0,(X),(NA),(NA)
1880  ...............................................................................,100.0,93.3,0.3,1.0,5.4,Black,,
1870  ...............................................................................,100.0,95.6,0.4,0.3,3.7,Total,Free,Slave
1860  ..............................................................................,100.0,99.4,0.2,0.3,-,100.0,100.0,-
1850  ...............................................................................,100.0,99.5,0.5,(NA),(NA),100.0,100.0,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
