Table 56.  South Dakota - Race and Hispanic Origin:  1860 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"696,004","637,515","3,258","50,575","3,123","1,533","5,252","634,788"
.   Sample ................................................................................,"696,004","637,181","3,133","50,369","3,327","1,994","5,428","634,653"
1980 ...............................................................................,"690,768","639,669","2,144","44,968","1,738","2,249","4,023","637,511"
.   Sample ................................................................................,"690,768","639,840","2,152","45,572","1,917","1,287","3,815","637,761"
1970 ...............................................................................,"665,507","630,333","1,627","32,365",598,584,(NA),(NA)
.   15% sample/1 ...............................................................................,"665,507","632,099","1,808","30,661",(NA),(NA),"2,954","629,366"
.   5% sample ...............................................................................,"665,507","633,112","1,697",(NA),(NA),(NA),"2,926","630,537"
1960 ................................................................................,"680,514","653,098","1,114","25,794",336,172,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"652,740","628,504",727,"23,344",110,55,(NA),(NA)
1940/2 ...............................................................................,"642,961","619,075",474,"23,347",65,(X),320,"618,755"
.   5% sample/2 ...............................................................................,(NA),"618,920",(NA),(NA),(NA),(X),320,"618,600"
1930 ................................................................................,"692,849","670,269",646,"21,833",101,(X),(NA),(NA)
1920 ................................................................................,"636,547","619,147",832,"16,384",184,(X),(NA),(NA)
1910 ...............................................................................,"583,888","563,771",817,"19,137",163,(X),(NA),(NA)
1900 ..............................................................................,"401,570","380,714",465,"20,225",166,(X),(NA),(NA)
1890/3 ...............................................................................,"348,600","328,010",541,"19,854",195,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"328,808","327,290",541,782,195,(X),(NA),(NA)
1880  ...............................................................................,"98,268","96,955",288,795,230,Black,,
1870  ...............................................................................,"11,776","11,319",70,387,-,Total,Free,Slave
1860/5 ...............................................................................,"4,837","2,576",-,"2,261",-,-,-,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,91.6,0.5,7.3,0.4,0.2,0.8,91.2
.   Sample ................................................................................,100.0,91.5,0.5,7.2,0.5,0.3,0.8,91.2
1980 ...............................................................................,100.0,92.6,0.3,6.5,0.3,0.3,0.6,92.3
.   Sample ................................................................................,100.0,92.6,0.3,6.6,0.3,0.2,0.6,92.3
1970 ...............................................................................,100.0,94.7,0.2,4.9,0.1,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,95.0,0.3,4.6,(NA),(NA),0.4,94.6
.   5% sample ...............................................................................,100.0,95.1,0.3,(NA),(NA),(NA),0.4,94.7
1960 ................................................................................,100.0,96.0,0.2,3.8,-,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,96.3,0.1,3.6,-,-,(NA),(NA)
1940 ...............................................................................,100.0,96.3,0.1,3.6,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),-,96.2
1930 ................................................................................,100.0,96.7,0.1,3.2,-,(X),(NA),(NA)
1920 ................................................................................,100.0,97.3,0.1,2.6,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,96.6,0.1,3.3,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,94.8,0.1,5.0,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,94.1,0.2,5.7,0.1,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,99.5,0.2,0.2,0.1,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.7,0.3,0.8,0.2,Black,,
1870  ...............................................................................,100.0,96.1,0.6,3.3,-,Total,Free,Slave
1860/5 ...............................................................................,100.0,53.3,-,46.7,-,-,-,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
" 5/Data are for Dakota Territory, including area currently in North Dakota and South Dakota.",,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
