Table 59.  Utah - Race and Hispanic Origin:  1850 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"1,722,850","1,615,845","11,576","24,283","33,371","37,775","84,597","1,571,254"
.   Sample ................................................................................,"1,722,850","1,617,426","11,079","24,371","33,000","36,974","83,097","1,573,092"
1980 ...............................................................................,"1,461,037","1,382,550","9,225","19,256","15,076","34,930","60,302","1,350,462"
.   Sample ................................................................................,"1,461,037","1,383,997","9,691","20,103","20,224","27,022","60,045","1,351,222"
1970 ...............................................................................,"1,059,273","1,031,926","6,617","11,273","6,881","2,576",(NA),(NA)
.   15% sample/1 ...............................................................................,"1,059,273","1,034,110","6,489","10,575",(NA),(NA),"43,550","991,605"
.   5% sample ...............................................................................,"1,059,273","1,033,410","6,228",(NA),(NA),(NA),"33,911","1,000,593"
1960 ................................................................................,"890,627","873,828","4,148","6,961","5,207",483,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"688,862","676,909","2,729","4,201","4,902",121,(NA),(NA)
1940/2 ...............................................................................,"550,310","542,920","1,235","3,611","2,544",(X),"2,572","540,348"
.   5% sample/2 ...............................................................................,(NA),"544,580",(NA),(NA),(NA),(X),"2,580","542,000"
1930 ................................................................................,"507,847","499,967","1,108","2,869","3,903",(X),(NA),(NA)
1920 ................................................................................,"449,396","441,901","1,446","2,711","3,338",(X),(NA),(NA)
1910 ...............................................................................,"373,351","366,583","1,144","3,123","2,501",(X),(NA),(NA)
1900 ..............................................................................,"276,749","272,465",672,"2,623",989,(X),(NA),(NA)
1890/3 ...............................................................................,"210,779","205,925",588,"3,456",810,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"207,905","205,899",588,608,810,(X),(NA),(NA)
1880  ...............................................................................,"143,963","142,423",232,807,501,Black,,
1870  ...............................................................................,"86,336","85,595",118,178,445,Total,Free,Slave
1860  ..............................................................................,"40,273","40,125",59,89,-,59,30,29
1850  ...............................................................................,"11,380","11,330",50,(NA),(NA),50,24,26
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,93.8,0.7,1.4,1.9,2.2,4.9,91.2
.   Sample ................................................................................,100.0,93.9,0.6,1.4,1.9,2.1,4.8,91.3
1980 ...............................................................................,100.0,94.6,0.6,1.3,1.0,2.4,4.1,92.4
.   Sample ................................................................................,100.0,94.7,0.7,1.4,1.4,1.8,4.1,92.5
1970 ...............................................................................,100.0,97.4,0.6,1.1,0.6,0.2,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,97.6,0.6,1.0,(NA),(NA),4.1,93.6
.   5% sample ...............................................................................,100.0,97.6,0.6,(NA),(NA),(NA),3.2,94.5
1960 ................................................................................,100.0,98.1,0.5,0.8,0.6,0.1,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,98.3,0.4,0.6,0.7,-,(NA),(NA)
1940 ...............................................................................,100.0,98.7,0.2,0.7,0.5,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.5,98.2
1930 ................................................................................,100.0,98.4,0.2,0.6,0.8,(X),(NA),(NA)
1920 ................................................................................,100.0,98.3,0.3,0.6,0.7,(X),(NA),(NA)
1910 ...............................................................................,100.0,98.2,0.3,0.8,0.7,(X),(NA),(NA)
1900 ..............................................................................,100.0,98.5,0.2,0.9,0.4,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,97.7,0.3,1.6,0.4,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,99.0,0.3,0.3,0.4,(X),(NA),(NA)
1880  ...............................................................................,100.0,98.9,0.2,0.6,0.3,Black,,
1870  ...............................................................................,100.0,99.1,0.1,0.2,0.5,Total,Free,Slave
1860  ..............................................................................,100.0,99.6,0.1,0.2,-,100.0,50.8,49.2
1850  ...............................................................................,100.0,99.6,0.4,(NA),(NA),100.0,48.0,52.0
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
