Table 60.  Vermont - Race and Hispanic Origin:  1790 to 1990,,,,,,,,
"(See text for sources, definitions, and explanations)  Table with row headers in column A and column headers in rows 3 to 5",,,,,,,,
,,Race,,,,,,
,,,,,,,,
Census year,"Total
population",White,Black,"American
Indian,
Eskimo,
and Aleut","Asian
and
Pacific
Islander","Other
race","Hispanic
origin
(of any
race)","White, not
of Hispanic
origin"
(lead dot indicates sub-part),,,,,,,,
NUMBER,,,,,,,,
1990 ................................................................................,"562,758","555,088","1,951","1,696","3,215",808,"3,661","552,184"
.   Sample ................................................................................,"562,758","554,570","2,194","2,215","3,064",715,"3,862","551,441"
1980 ...............................................................................,"511,456","506,736","1,135",984,"1,355","1,246","3,304","503,871"
.   Sample ................................................................................,"511,456","507,052","1,188","1,068","1,640",508,"3,377","504,201"
1970 ...............................................................................,"444,330","442,553",761,229,448,339,(NA),(NA)
.   15% sample/1 ...............................................................................,"444,330","442,905",665,233,(NA),(NA),"2,469","440,555"
.   5% sample ...............................................................................,"444,330","442,455",778,(NA),(NA),(NA),"1,610","440,845"
1960 ................................................................................,"389,881","389,092",519,57,172,41,(NA),(NA)
,,,,,,,,
1950 ................................................................................,"377,747","377,188",443,30,55,31,(NA),(NA)
1940/2 ...............................................................................,"359,231","358,806",384,16,25,(X),699,"358,107"
.   5% sample/2 ...............................................................................,(NA),"359,480",(NA),(NA),(NA),(X),700,"358,780"
1930 ................................................................................,"359,611","358,966",568,36,41,(X),(NA),(NA)
1920 ................................................................................,"352,428","351,817",572,24,15,(X),(NA),(NA)
1910 ...............................................................................,"355,956","354,298","1,621",26,11,(X),(NA),(NA)
1900 ..............................................................................,"343,641","342,771",826,5,39,(X),(NA),(NA)
1890/3 ...............................................................................,"332,422","331,418",937,34,33,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,"332,422","331,418",937,34,33,(X),(NA),(NA)
1880  ...............................................................................,"332,286","331,218","1,057",11,-,Black,,
1870  ...............................................................................,"330,551","329,613",924,14,-,Total,Free,Slave
1860  ..............................................................................,"315,098","314,369",709,20,-,709,709,-
1850  ...............................................................................,"314,120","313,402",718,(NA),(NA),718,718,-
1840  ..............................................................................,"291,948","291,218",730,(NA),(NA),730,730,-
1830  ...............................................................................,"280,652","279,771",881,(NA),(NA),881,881,-
1820  ..............................................................................,"235,981","235,078",903,(NA),(NA),903,903,-
1810  .............................................................................,"217,895","217,145",750,(NA),(NA),750,750,-
1800  ..............................................................................,"154,465","153,908",557,(NA),(NA),557,557,-
1790  .............................................................................,"85,425","85,154",271,(NA),(NA),271,271,-
,,,,,,  ,,
PERCENT,,,,,,  ,,
1990 ................................................................................,100.0,98.6,0.3,0.3,0.6,0.1,0.7,98.1
.   Sample ................................................................................,100.0,98.5,0.4,0.4,0.5,0.1,0.7,98.0
1980 ...............................................................................,100.0,99.1,0.2,0.2,0.3,0.2,0.6,98.5
.   Sample ................................................................................,100.0,99.1,0.2,0.2,0.3,0.1,0.7,98.6
1970 ...............................................................................,100.0,99.6,0.2,0.1,0.1,0.1,(NA),(NA)
.   15% sample/1 ...............................................................................,100.0,99.7,0.1,0.1,(NA),(NA),0.6,99.2
.   5% sample ...............................................................................,100.0,99.6,0.2,(NA),(NA),(NA),0.4,99.2
1960 ................................................................................,100.0,99.8,0.1,-,-,-,(NA),(NA)
,,,,,,,,
1950 ................................................................................,100.0,99.9,0.1,-,-,-,(NA),(NA)
1940 ...............................................................................,100.0,99.9,0.1,-,-,(X),(NA),(NA)
.   5% sample/2 ...............................................................................,(NA),(NA),(NA),(NA),(NA),(X),0.2,99.7
1930 ................................................................................,100.0,99.8,0.2,-,-,(X),(NA),(NA)
1920 ................................................................................,100.0,99.8,0.2,-,-,(X),(NA),(NA)
1910 ...............................................................................,100.0,99.5,0.5,-,-,(X),(NA),(NA)
1900 ..............................................................................,100.0,99.7,0.2,-,-,(X),(NA),(NA)
1890/3 ...............................................................................,100.0,99.7,0.3,-,-,(X),(NA),(NA)
,,,,,,,,
1890/4 ...............................................................................,100.0,99.7,0.3,-,-,(X),(NA),(NA)
1880  ...............................................................................,100.0,99.7,0.3,-,-,Black,,
1870  ...............................................................................,100.0,99.7,0.3,-,-,Total,Free,Slave
1860  ..............................................................................,100.0,99.8,0.2,-,-,100.0,100.0,-
1850  ...............................................................................,100.0,99.8,0.2,(NA),(NA),100.0,100.0,-
1840  ..............................................................................,100.0,99.7,0.3,(NA),(NA),100.0,100.0,-
1830  ...............................................................................,100.0,99.7,0.3,(NA),(NA),100.0,100.0,-
1820  ..............................................................................,100.0,99.6,0.4,(NA),(NA),100.0,100.0,-
1810  .............................................................................,100.0,99.7,0.3,(NA),(NA),100.0,100.0,-
1800  ..............................................................................,100.0,99.6,0.4,(NA),(NA),100.0,100.0,-
1790  .............................................................................,100.0,99.7,0.3,(NA),(NA),100.0,100.0,-
Footnotes:,,,,,,,,
 - Represents zero or rounds to 0.0.  (X) Not applicable.  (NA) Not available.  1/Hispanic origin based on Spanish language.  2/Hispanic origin based on the White,,,,,,,,
    population of Spanish mother tongue.  Percentages shown based on sample data prorated to the 100-percent count of the White population and on the,,,,,,,,
    100-percent count of the total population. These estimates are in italics. See Table E-6 and text.  3/Includes Indian reservations.  4/Excludes Indian reservations.   ,,,,,,,,
Source:  U. S. Census Bureau,,,,,,,,
"Internet Release Date:  September 13, 2002",,,,,,,,
