State,Total,White,Black,Asian,Other,Hispanic,Non Hispanic,Native
Alabama,4779736,3337077,1281118,67036,107353,185602,4594134,63032
Alaska,710231,518949,33150,50402,15183,39249,670982,149466
Arizona,6392017,4852961,318665,230907,846031,1895149,4496868,378492
Arkansas,2915918,2296665,468710,44943,110243,186050,2729868,55437
California,37253956,22953374,2683914,5556592,7023538,14013719,23240237,1009370
Colorado,5029196,4240231,249812,185589,418001,1038687,3990509,123032
Connecticut,3574097,2846192,405600,157088,229123,479087,3095010,36537
Delaware,897934,637392,205923,33701,35545,73221,824713,11115
District of Columbia,601723,243650,314352,26857,28621,54749,546974,7841
Florida,18801310,14488435,3200663,573083,844318,4223806,14577504,202476
Georgia,9687653,5951521,3054098,365497,442198,853689,8833964,99601
Hawaii,1360301,564323,38820,780968,34199,120842,1239459,389286
Idaho,1567582,1432824,15940,29698,89142,175901,1391681,41479
Illinois,12830632,9423048,1974113,668694,958603,2027578,10803054,114997
Indiana,6483802,5583367,654415,126750,199408,389707,6094095,56123
Iowa,3046355,2830454,113225,64512,66742,151544,2894811,28358
Kansas,2853118,2468364,202149,83930,126838,300042,2553076,64068
Kentucky,4339367,3878336,376213,62029,66413,132836,4206531,36466
Louisiana,4533372,2895868,1486885,84335,85725,192560,4340812,59958
Maine,1328361,1284877,21764,18333,6210,16935,1311426,19470
Maryland,5773552,3488887,1783899,370044,243383,470632,5302920,68483
Massachusetts,6547629,5400458,508413,394211,369611,627654,5919975,60962
Michigan,9883640,8006969,1505514,289607,181749,436358,9447282,148443
Minnesota,5303925,4634915,327548,247132,121996,250258,5053667,108106
Mississippi,2967297,1782807,1115801,32560,44114,81481,2885816,28686
Missouri,5988927,5070826,747474,123571,96920,212470,5776457,83672
Montana,989415,908645,7917,10482,8434,28565,960850,80333
Nebraska,1826341,1607717,98959,40561,88874,167405,1658936,32639
Nevada,2700551,1890043,254452,242916,363950,716501,1984050,88793
New Hampshire,1316470,1255950,21736,34522,15399,36704,1279766,11684
New Jersey,8791894,6210995,1300363,795163,660171,1555144,7236750,83715
New Mexico,2059179,1473005,57040,40456,346627,953403,1105776,224210
New York,19378102,13155274,3334550,1579494,1684388,3416922,15961180,257481
North Carolina,9535483,6697465,2151456,252585,459451,800120,8735363,198856
North Dakota,672591,616350,11086,9193,4717,13467,659124,43778
Ohio,11536504,9751547,1541771,238292,161639,354674,11181830,100649
Oklahoma,3751351,2906285,327621,84170,176288,332007,3419344,490966
Oregon,3831074,3337309,98479,186281,231789,450062,3381012,135008
Pennsylvania,12702379,10604187,1507965,402587,352183,719660,11982719,93516
Rhode Island,1052567,882280,77754,36763,77592,130655,921912,16654
South Carolina,4625364,3127075,1332188,75674,128464,235682,4389682,48051
South Dakota,814180,715167,14705,10216,9318,22119,792061,82993
Tennessee,6346105,5019639,1107178,113398,160880,290059,6056046,62659
Texas,25145561,18276506,3168469,1110666,2946690,9460921,15684640,362910
Utah,2763885,2447583,43209,77748,189886,358340,2405545,86841
Vermont,625741,606588,9343,10463,2924,9208,616533,7844
Virginia,8001024,5681937,1653563,522199,301435,631825,7369199,96346
Washington,6724540,5471864,325004,604251,400896,755790,5968750,269320
West Virginia,1852994,1765642,76945,16465,8164,22268,1830726,14568
Wisconsin,5686986,4995836,403527,151513,156494,336056,5350930,91345
Wyoming,563626,522739,7285,6729,20224,50231,513395,19659
